176093659136,TYPE_REF,2,,__builtins__.int,1,,1,,,2,,__builtin.int<meta>
176093659137,TYPE_REF,2,,__builtins__.str,1,,1,,,2,,__builtin.str<meta>
176093659138,TYPE_REF,1,,class UUIDAuthMiddleware<meta>(...),18,,31,,,1,,backend\\middleware_channels.py:<module>.UUIDAuthMiddleware<meta>
176093659139,TYPE_REF,0,,class UUIDAuthMiddleware<meta>(...),18,,31,,,1,,backend\\middleware_channels.py:<module>.UUIDAuthMiddleware<meta>
176093659140,TYPE_REF,2,,class UUIDAuthMiddleware<meta>(...),1,,30,,,2,,backend\\middleware_channels.py:<module>.UUIDAuthMiddleware<meta>
176093659141,TYPE_REF,1,,class DebugPermission<meta>(...),1,,5,,,1,,backend\\permissions.py:<module>.DebugPermission<meta>
176093659142,TYPE_REF,0,,class DebugPermission<meta>(...),1,,5,,,1,,backend\\permissions.py:<module>.DebugPermission<meta>
176093659143,TYPE_REF,2,,class DebugPermission<meta>(...),1,,5,,,2,,backend\\permissions.py:<module>.DebugPermission<meta>
176093659144,TYPE_REF,1,,class CoreConfig<meta>(...),1,,4,,,1,,core\\apps.py:<module>.CoreConfig<meta>
176093659145,TYPE_REF,0,,class CoreConfig<meta>(...),1,,4,,,1,,core\\apps.py:<module>.CoreConfig<meta>
176093659146,TYPE_REF,2,,class CoreConfig<meta>(...),1,,4,,,2,,core\\apps.py:<module>.CoreConfig<meta>
176093659147,TYPE_REF,2,,__builtins__.help,1,,1,,,2,,__builtin.help
176093659148,TYPE_REF,1,,class Command<meta>(...),1,,5,,,1,,core\\management\\commands\\create_admin.py:<module>.Command<meta>
176093659149,TYPE_REF,0,,class Command<meta>(...),1,,5,,,1,,core\\management\\commands\\create_admin.py:<module>.Command<meta>
176093659150,TYPE_REF,2,,class Command<meta>(...),1,,5,,,2,,core\\management\\commands\\create_admin.py:<module>.Command<meta>
176093659151,TYPE_REF,1,,class Migration<meta>(...),1,,9,,,1,,core\\migrations\\0001_initial.py:<module>.Migration<meta>
176093659152,TYPE_REF,0,,class Migration<meta>(...),1,,9,,,1,,core\\migrations\\0001_initial.py:<module>.Migration<meta>
176093659153,TYPE_REF,2,,class Migration<meta>(...),1,,9,,,2,,core\\migrations\\0001_initial.py:<module>.Migration<meta>
176093659154,TYPE_REF,1,,class Migration<meta>(...),1,,8,,,1,,core\\migrations\\0002_user_deleted_at_user_deleted_by_user_is_deleted.py:<module>.Migration<meta>
